row_id,hotel,arrival_date_year,arrival_date_month,actual_is_canceled,predicted_cancel_prob
68549,City Hotel,2017,May,1,1.0
53135,City Hotel,2016,June,1,1.0
49314,City Hotel,2016,April,1,0.84
58092,City Hotel,2016,October,1,0.6134285714285714
2799,Resort Hotel,2015,October,1,0.01
86596,City Hotel,2016,April,0,0.08
48301,City Hotel,2016,March,1,1.0
55384,City Hotel,2016,August,1,1.0
107176,City Hotel,2017,March,0,0.43
86833,City Hotel,2016,April,0,0.09
115668,City Hotel,2017,July,0,0.61
5753,Resort Hotel,2016,May,1,1.0
99028,City Hotel,2016,October,0,0.0
68539,City Hotel,2017,May,1,1.0
47665,City Hotel,2016,February,1,1.0
18927,Resort Hotel,2015,December,0,0.0
9347,Resort Hotel,2016,November,1,0.33
35534,Resort Hotel,2017,April,0,0.02
96912,City Hotel,2016,September,0,0.81
109690,City Hotel,2017,April,0,0.82
17730,Resort Hotel,2017,March,0,0.0
34967,Resort Hotel,2017,April,0,0.13083333333333333
110768,City Hotel,2017,April,0,0.64
27985,Resort Hotel,2016,September,0,0.05333333333333333
66874,City Hotel,2017,April,1,1.0
81238,City Hotel,2015,December,0,0.02
76326,City Hotel,2015,July,0,0.0
9252,Resort Hotel,2016,November,1,1.0
5448,Resort Hotel,2016,April,1,1.0
7582,Resort Hotel,2016,August,1,0.68
69094,City Hotel,2017,May,1,1.0
69227,City Hotel,2017,May,1,0.39
58659,City Hotel,2016,October,1,1.0
30437,Resort Hotel,2016,November,0,0.04
23553,Resort Hotel,2016,April,0,0.02
110346,City Hotel,2017,April,0,0.6704047619047618
81881,City Hotel,2016,April,1,0.91
117289,City Hotel,2017,July,0,0.29
105688,City Hotel,2017,February,0,0.09
116155,City Hotel,2017,July,0,0.14
30499,Resort Hotel,2016,November,0,0.14
29035,Resort Hotel,2016,October,0,0.08
93261,City Hotel,2016,July,0,0.0
12410,Resort Hotel,2017,June,1,0.94
19816,Resort Hotel,2016,January,0,0.0
108498,City Hotel,2017,March,0,0.03
91081,City Hotel,2016,June,0,0.0
62437,City Hotel,2017,January,1,1.0
94354,City Hotel,2016,August,0,0.09
99242,City Hotel,2016,October,0,0.02
79307,City Hotel,2015,October,0,0.02
61235,City Hotel,2016,December,1,0.06
89504,City Hotel,2016,May,0,0.04
51625,City Hotel,2016,May,1,0.99
115497,City Hotel,2017,July,0,0.5
95002,City Hotel,2016,August,0,0.22
101755,City Hotel,2016,November,0,0.85
29591,Resort Hotel,2016,October,0,0.44
45425,City Hotel,2015,October,0,0.0
33395,Resort Hotel,2017,February,0,0.02
31651,Resort Hotel,2017,January,0,0.0
6656,Resort Hotel,2016,June,1,0.2625
79778,City Hotel,2016,November,0,0.06
38236,Resort Hotel,2017,July,0,0.71
2483,Resort Hotel,2015,October,0,0.01
1641,Resort Hotel,2015,September,0,0.06
103877,City Hotel,2016,December,0,0.03
49025,City Hotel,2016,April,1,0.10333333333333332
35714,Resort Hotel,2017,April,0,0.02
32337,Resort Hotel,2017,January,0,0.03
2456,Resort Hotel,2015,October,1,0.16
116405,City Hotel,2017,July,0,0.03
90291,City Hotel,2016,May,0,0.15
24307,Resort Hotel,2016,May,0,0.11
59204,City Hotel,2016,October,1,0.96
12741,Resort Hotel,2017,July,1,0.41
86591,City Hotel,2016,April,0,0.15
48106,City Hotel,2016,March,0,0.21
119338,City Hotel,2017,August,0,0.33
22312,Resort Hotel,2016,March,0,0.32
102778,City Hotel,2016,December,0,0.41
1428,Resort Hotel,2015,August,1,0.34
114501,City Hotel,2017,June,0,0.28
117761,City Hotel,2017,August,0,0.01
34765,Resort Hotel,2017,March,0,0.02
90946,City Hotel,2016,June,0,0.01
64986,City Hotel,2017,March,1,1.0
62691,City Hotel,2017,January,1,0.28
75515,City Hotel,2015,October,1,1.0
59903,City Hotel,2016,November,1,1.0
7615,Resort Hotel,2016,August,1,0.88
47868,City Hotel,2016,March,0,0.3
96606,City Hotel,2016,September,0,0.34
114869,City Hotel,2017,June,0,0.7
33575,Resort Hotel,2017,February,0,0.1
33321,Resort Hotel,2017,February,0,0.02
73512,City Hotel,2017,August,1,0.79
85108,City Hotel,2016,March,0,0.11
20463,Resort Hotel,2016,January,0,0.02
42255,City Hotel,2015,September,0,0.02
36612,Resort Hotel,2017,May,0,0.01
88512,City Hotel,2016,May,0,0.12
6036,Resort Hotel,2016,May,0,0.01
114056,City Hotel,2017,June,0,0.04
70303,City Hotel,2017,June,1,1.0
63797,City Hotel,2017,February,1,0.3
31079,Resort Hotel,2016,December,0,0.03
85702,City Hotel,2016,March,0,0.05
95559,City Hotel,2016,August,0,0.0
70889,City Hotel,2017,June,1,1.0
13575,Resort Hotel,2017,August,1,0.1
93388,City Hotel,2016,July,0,0.15
82437,City Hotel,2015,December,0,0.03
5886,Resort Hotel,2016,May,0,0.0
110455,City Hotel,2017,April,0,0.02
102922,City Hotel,2016,December,0,0.59
89737,City Hotel,2016,May,0,0.0
89495,City Hotel,2016,May,0,0.31
30923,Resort Hotel,2016,December,0,0.27
114726,City Hotel,2017,June,0,0.0
115576,City Hotel,2017,July,0,0.4
44587,City Hotel,2015,October,0,0.11188877462406871
94237,City Hotel,2017,July,0,0.02
25398,Resort Hotel,2016,June,0,0.17
48823,City Hotel,2016,March,1,1.0
40966,City Hotel,2015,August,0,0.23533333333333334
105713,City Hotel,2017,February,0,0.09
100610,City Hotel,2016,October,0,0.33983333333333343
115550,City Hotel,2017,July,0,0.17833333333333334
49876,City Hotel,2016,April,0,0.0
44959,City Hotel,2015,October,0,0.0
89783,City Hotel,2016,May,0,0.28
17377,Resort Hotel,2015,October,0,0.01
52709,City Hotel,2016,June,1,0.13
116677,City Hotel,2017,July,0,0.0
68430,City Hotel,2017,May,1,0.94
91994,City Hotel,2016,June,0,0.06
36275,Resort Hotel,2017,May,0,0.0
77449,City Hotel,2015,September,0,0.01
84847,City Hotel,2016,February,0,0.38
100994,City Hotel,2016,November,0,0.73
98039,City Hotel,2016,September,0,0.01
61566,City Hotel,2016,December,1,1.0
42070,City Hotel,2015,August,1,1.0
43821,City Hotel,2015,September,0,0.0
101669,City Hotel,2016,November,0,0.40157894736842104
74956,City Hotel,2015,August,1,0.94
5904,Resort Hotel,2016,May,0,0.0
84402,City Hotel,2016,February,0,0.03
116849,City Hotel,2017,July,0,0.05
79236,City Hotel,2016,December,1,1.0
91894,City Hotel,2016,June,0,0.01
119064,City Hotel,2017,August,0,0.12
70370,City Hotel,2017,June,1,0.34
105242,City Hotel,2017,February,0,0.32
72000,City Hotel,2017,July,1,0.65
107052,City Hotel,2017,March,0,0.33
7798,Resort Hotel,2016,August,1,0.75
1614,Resort Hotel,2015,September,1,0.396
108102,City Hotel,2017,March,0,0.01
5612,Resort Hotel,2016,May,0,0.0
4237,Resort Hotel,2016,February,1,0.0918226714063698
65895,City Hotel,2017,April,1,0.59
98530,City Hotel,2016,September,0,0.2925
17286,Resort Hotel,2015,September,0,0.0
42967,City Hotel,2015,September,0,0.38770153464464796
42413,City Hotel,2015,September,0,0.01
8029,Resort Hotel,2016,September,1,1.0
100273,City Hotel,2016,October,0,0.23
113659,City Hotel,2017,June,0,0.51
29703,Resort Hotel,2016,November,0,0.04
47998,City Hotel,2016,March,1,0.42
90703,City Hotel,2016,June,0,0.01
100571,City Hotel,2016,October,0,0.01
13222,Resort Hotel,2017,August,1,0.03
34072,Resort Hotel,2017,March,0,0.12
4196,Resort Hotel,2016,February,1,1.0
8038,Resort Hotel,2016,September,1,1.0
93219,City Hotel,2016,July,0,0.08
40476,City Hotel,2015,July,1,0.6559999999999999
31655,Resort Hotel,2016,December,0,0.08
112953,City Hotel,2017,May,0,0.183
8293,Resort Hotel,2016,September,1,0.84
20874,Resort Hotel,2016,February,0,0.02
109541,City Hotel,2017,April,0,0.5
115511,City Hotel,2017,July,0,0.18513061938061937
48647,City Hotel,2016,March,1,1.0
107021,City Hotel,2017,March,0,0.03
95977,City Hotel,2016,August,0,0.43
117603,City Hotel,2017,August,0,0.12
28853,Resort Hotel,2016,October,0,0.14
18460,Resort Hotel,2015,November,0,0.0
81237,City Hotel,2015,December,0,0.01
77628,City Hotel,2015,September,0,0.0
63065,City Hotel,2017,January,1,0.98
21678,Resort Hotel,2016,March,0,0.2
86188,City Hotel,2016,March,0,0.01
14828,Resort Hotel,2015,September,1,1.0
109415,City Hotel,2017,April,0,0.03
5918,Resort Hotel,2016,May,1,1.0
57393,City Hotel,2016,September,1,0.66
3445,Resort Hotel,2015,December,1,0.59
8537,Resort Hotel,2016,October,1,0.73125
7090,Resort Hotel,2016,July,1,0.49
73399,City Hotel,2017,August,1,0.64
53232,City Hotel,2016,June,1,1.0
20101,Resort Hotel,2016,January,0,0.02
70624,City Hotel,2017,June,1,1.0
28207,Resort Hotel,2016,September,0,0.14
31795,Resort Hotel,2017,March,0,0.12
55252,City Hotel,2016,August,0,0.14
84366,City Hotel,2016,April,0,0.04
51478,City Hotel,2016,May,1,1.0
32959,Resort Hotel,2017,January,0,0.55
42689,City Hotel,2015,September,0,0.06789395937117458
1239,Resort Hotel,2015,August,0,0.01
97924,City Hotel,2016,September,0,0.0
32563,Resort Hotel,2017,January,0,0.18219047619047618
80852,City Hotel,2016,January,0,0.02
100632,City Hotel,2016,October,0,0.6982007575757576
